,decade,yearID,R,HR,BB,SO,BIP
0,1870,1871,20.937007874015748,0.3700787401574803,3.094488188976378,1.3779527559055118,83.46456692913385
1,1870,1872,18.524590163934427,0.20218579234972678,1.4371584699453552,1.4480874316939891,83.95081967213115
2,1870,1873,17.98994974874372,0.23618090452261306,1.6834170854271358,1.3969849246231156,83.58793969849246
3,1870,1874,14.956896551724139,0.1724137931034483,1.0258620689655173,1.5387931034482758,80.63362068965517
4,1870,1875,12.272463768115943,0.11594202898550725,0.7217391304347827,1.9565217391304348,75.70434782608696
5,1870,1876,11.792307692307693,0.15384615384615385,1.2923076923076924,2.2653846153846153,74.96923076923076
6,1870,1877,11.333333333333334,0.13333333333333333,1.9166666666666667,4.033333333333333,71.7611111111111
7,1870,1878,10.347826086956522,0.125,1.9782608695652173,5.875,68.15217391304348
8,1870,1879,10.61993769470405,0.1806853582554517,1.5825545171339563,5.741433021806854,69.32710280373831
9,1880,1880,9.385294117647058,0.18235294117647058,2.176470588235294,5.8617647058823525,65.42941176470588
10,1880,1881,10.193452380952381,0.2261904761904762,3.074404761904762,5.309523809523809,67.01488095238095
11,1880,1882,10.669001751313486,0.3117338003502627,2.788091068301226,3.7810858143607704,68.80035026269702
12,1880,1883,11.503184713375797,0.30318471337579617,2.963057324840764,3.664968152866242,69.4968152866242
13,1880,1884,10.892648015614833,0.4482758620689655,3.218607677293429,2.8204294079375405,67.85165907612232
14,1880,1885,10.440449438202247,0.36292134831460676,3.966292134831461,3.749438202247191,66.36516853932584
15,1880,1886,10.974261201143946,0.3937082936129647,5.294566253574833,4.049571020019066,65.07721639656816
16,1880,1887,12.705492424242424,0.5738636363636364,5.732007575757576,5.609848484848484,64.58806818181819
17,1880,1888,9.75045871559633,0.4779816513761468,4.336697247706422,7.534862385321101,61.19724770642202
18,1880,1889,11.935661764705882,0.6130514705882353,6.724264705882353,7.048713235294118,62.630514705882355
19,1890,1890,12.04661280298322,0.4748290863890615,7.285891858297079,4.093847110006215,65.81230577998757
20,1890,1891,11.403429602888087,0.5279783393501805,7.251805054151625,6.909747292418772,62.65252707581227
21,1890,1892,10.226579520697168,0.4542483660130719,6.729847494553377,6.505446623093682,62.62200435729847
22,1890,1893,13.140127388535031,0.5859872611464968,7.825477707006369,4.256050955414013,67.63949044585988
23,1890,1894,14.781954887218046,0.7882205513784462,7.355889724310777,4.176691729323308,67.18671679197995
24,1890,1895,13.191969887076537,0.6122961104140527,6.424090338770389,4.543287327478042,66.09661229611041
25,1890,1896,12.070707070707071,0.51010101010101,6.128787878787879,4.4482323232323235,65.21464646464646
26,1890,1897,11.816604708798017,0.4560099132589839,5.85997521685254,4.620817843866171,65.13754646840148
27,1890,1898,9.922826086956523,0.325,5.534782608695652,4.590217391304348,63.19456521739131
28,1890,1899,10.501628664495113,0.38219326818675353,5.406080347448426,4.17915309446254,63.675352877307276
29,1900,1900,10.443661971830986,0.4471830985915493,5.341549295774648,4.720070422535211,63.727112676056336
30,1900,1901,9.984670874661857,0.4102795311091073,4.927862939585212,6.290351668169522,62.82596934174932
31,1900,1902,8.876233183856503,0.31748878923766816,4.880717488789237,5.946188340807175,62.148878923766816
32,1900,1903,8.876122082585278,0.3007181328545781,4.8195691202872535,7.090664272890485,60.32764811490126
33,1900,1904,7.453525641025641,0.265224358974359,4.471153846153846,7.451121794871795,58.37980769230769
34,1900,1905,7.789005658852061,0.27324171382376716,5.003233629749394,7.698464025869038,58.18997574777688
35,1900,1906,7.232273838630807,0.21271393643031786,5.027709861450693,7.4246128769356154,57.6120619396903
36,1900,1907,7.049472830494729,0.1978913219789132,4.948094079480941,7.166261151662612,57.76480129764801
37,1900,1908,6.766077170418006,0.21463022508038584,4.710610932475884,7.297427652733119,57.342443729903536
38,1900,1909,7.088638195004029,0.20870265914585012,5.24174053182917,7.556003223207091,57.19339242546334
39,1910,1910,7.66773418734988,0.289031224979984,5.939951961569255,7.747798238590873,57.25620496397118
40,1910,1911,9.022635408245756,0.41552142279708976,6.336297493936944,3.8787388843977366,62.20614389652385
41,1910,1912,9.069861900893583,0.35905767668562144,6.241267262388302,3.7587327376116977,62.526401299756294
42,1910,1913,8.077858880778589,0.38118410381184104,5.89375506893755,7.528791565287916,57.95863746958638
43,1910,1914,7.7328366152208625,0.3778605641298563,5.930282064928154,7.853645556146887,57.00904736562001
44,1910,1915,7.618868935942107,0.3403913160010721,5.9608683998927905,7.5154114178504425,57.38354328598231
45,1910,1916,7.128307939053729,0.3071371291098637,5.674418604651163,7.645549318364074,57.74338412189254
46,1910,1917,7.177225340817963,0.268644747393745,5.541299117882919,6.960705693664796,58.57257417802727
47,1910,1918,7.265748031496063,0.2312992125984252,5.658464566929134,5.831692913385827,60.19192913385827
48,1910,1919,7.753130590339893,0.3998211091234347,5.350626118067979,6.126118067978533,60.26386404293381
49,1920,1920,8.721231766612641,0.5105348460291734,5.526742301458671,5.872771474878444,61.8322528363047
50,1920,1921,9.713355048859935,0.7630293159609121,5.5757328990228014,5.666938110749186,62.928338762214985
51,1920,1922,9.719467956469165,0.8504635227730754,5.84683595324466,5.602579604997985,62.34663442160419
52,1920,1923,9.640276086073893,0.7957775071051563,6.141291108404385,5.70117742590337,62.71051563134389
53,1920,1924,9.517465475223396,0.7278635255889521,5.9821283509342,5.391551584077986,62.65881397238018
54,1920,1925,10.250712250712251,0.9515669515669516,6.303622303622304,5.425315425315425,63.16483516483517
55,1920,1926,9.273095623987034,0.6993517017828201,6.242301458670989,5.491896272285251,61.679092382495945
56,1920,1927,9.501010917913465,0.7456530529720987,6.021027092600081,5.571370804690659,61.98948645369996
57,1920,1928,9.463850528025995,0.8878960194963444,6.226645004061738,5.766856214459788,61.97238017871649
58,1920,1929,10.365040650406504,1.0967479674796747,6.4975609756097565,5.676422764227643,62.50325203252032
59,1930,1930,11.098055105348461,1.2682333873581848,6.2025931928687195,6.429497568881685,62.45705024311183
60,1930,1931,9.620550161812298,0.8648867313915858,6.2127831715210355,6.38673139158576,62.83252427184466
61,1930,1932,9.824817518248175,1.1013787510137876,6.122465531224655,6.3892944038929445,63.21654501216545
62,1930,1933,8.963295269168025,0.8703099510603589,5.99021207177814,6.071778140293638,62.57014681892333
63,1930,1934,9.811120196238758,1.0989370400654128,6.4227309893704,6.8945216680294354,62.252657399836465
64,1930,1935,9.79315960912052,1.0789902280130292,6.379478827361564,6.517915309446254,62.79153094462541
65,1930,1936,10.38060606060606,1.1022222222222222,6.802424242424243,6.654545454545454,63.06181818181818
66,1930,1937,9.745660072668551,1.1546225272507065,6.817117480823577,7.267662494953573,60.986677432377874
67,1930,1938,9.78659035159444,1.206050695012265,7.0580539656582175,6.815208503679477,61.490596892886344
68,1930,1939,9.64744110479285,1.1738424045491471,6.887083671811535,6.905767668562144,60.87164906580016
