,decade,yearID,BA,BABIP,KPG,OBP,BBPG,ERA,OPS,SLG
0,1870,1871,13.730892241343435,11.027797059905415,0.004843683249486711,9.103288416539023,6.488053059693638,12.939410090539077,10.535459852875293,11.935092895132462
1,1870,1872,13.348622322640809,11.09495952663249,0.06650567752587828,6.490596660241139,1.9213075408123585,9.345649639554555,6.261943694822259,6.487273024434499
2,1870,1873,14.810367957741562,12.471835637780288,0.0,7.788948440063097,2.56880087818258,7.691203978622253,7.670693947984871,7.9138954279756
3,1870,1874,10.124113733195903,7.974733792088405,0.173452316311771,3.88059821062755,0.8133986002200679,0.0,3.7962667173808025,4.275461455877896
4,1870,1875,4.730176591086154,3.024752300102987,0.6771469369424267,0.0,0.0,0.22361236063844406,0.0,0.7535883587427185
5,1870,1876,7.877855082719226,6.500154931718494,1.0048366018218449,2.9798804089655713,1.480198579402729,0.7426529404595932,2.3139215868321,2.3811075170066296
6,1870,1877,9.474211568637891,10.1561263313088,3.1494032442645525,5.071310624710755,3.2108165884657316,3.9321414274703077,4.7395820636806825,4.959305123575434
7,1870,1878,6.249117244942834,8.881755408580322,5.325792402794401,3.206337385545876,3.343501732293256,0.7226626067557097,2.2797808429150255,2.1286514012534723
8,1870,1879,5.173210639450225,7.3019948400874295,5.16907692180788,1.8062869297376354,2.2878345024480753,1.9489746410341815,2.4258335000094284,3.572973373292889
9,1880,1880,2.200341312026181,4.471709700973913,5.424009106669752,1.1240986613062938,3.971841399508747,1.1687130416672105,1.3498499833436874,2.2219078946158763
10,1880,1881,6.430563878292606,8.260639118688323,4.738759663611044,5.265489789010047,6.407769328202248,3.7212508292024307,4.864843373609684,5.01964417958542
11,1880,1882,3.185492130551186,2.8056696865196287,5.411243016987148,2.727305430110948,5.614342372015804,3.903920926849244,2.966916988908215,3.7641475809506804
12,1880,1883,5.625741182324671,5.287755027425068,6.536946135942852,4.512630869186372,6.158981721697837,6.536240454127614,5.1251465130819245,6.121895639205159
13,1880,1884,1.8133251799829553,0.0,10.173570472849677,3.2719408185641,6.918983090147773,5.848530363426007,2.9899806014606005,3.345374286557052
14,1880,1885,2.013136701172294,1.4612474210769473,7.5029948459559,4.8602467360614305,8.892294702794702,5.363896510599144,3.5784617953466293,3.057752070986555
15,1880,1886,2.691796555327943,2.4581342324515902,8.978707782667232,7.489598993499321,12.76984904147513,7.5236498524213005,5.383185353385958,4.069284598752659
